DST_IP,family
10.0.0.101,2
104.110.191.140,2
104.155.138.21,6
104.16.113.74,2
104.16.114.74,3
104.16.53.110,2
104.16.53.111,2
104.16.79.73,2
104.16.80.73,2
104.17.112.233,3
104.17.24.14,5
104.17.25.14,4
104.18.0.146,2
104.18.21.226,3
104.18.21.97,2
104.18.24.173,2
104.18.30.32,2
104.18.32.137,3
104.18.33.89,5
104.18.35.167,2
104.18.36.155,5
104.18.38.233,2
104.18.70.113,2
104.18.72.113,2
104.19.177.52,3
104.19.222.79,4
104.19.223.79,6
104.20.22.46,2
104.20.23.46,2
104.20.3.235,4
104.20.4.235,4
104.20.86.8,3
104.20.87.8,3
104.21.42.32,2
104.21.5.131,2
104.21.63.106,2
104.21.83.240,2
104.21.87.79,2
104.22.30.188,2
104.22.50.98,2
104.22.52.86,2
104.22.53.86,4
104.22.58.91,4
104.22.59.91,5
104.22.62.125,3
104.22.74.216,3
104.22.75.216,3
104.26.12.205,7
104.26.13.205,8
104.26.14.230,4
104.26.2.70,3
104.26.3.63,2
104.26.3.70,3
104.26.7.141,2
107.178.223.183,6
108.138.233.102,2
108.138.233.123,2
108.138.233.27,2
108.156.39.107,2
108.156.39.69,2
108.156.46.114,2
108.156.46.12,3
108.156.46.24,2
108.156.46.32,2
108.156.46.45,2
108.156.46.87,2
124.146.153.164,2
128.116.119.4,2
128.116.21.4,2
13.107.21.237,38
13.107.246.254,2
13.107.246.64,6
13.107.253.64,7
13.107.3.254,3
13.107.42.16,4
13.107.5.80,6
13.224.222.112,2
13.224.222.58,2
13.224.222.64,2
13.224.223.9,4
13.224.243.39,2
13.224.77.115,2
13.248.245.213,2
13.37.187.223,2
13.50.192.155,3
13.74.129.1,2
13.89.178.27,2
130.211.23.194,5
131.188.40.189,2
132.226.247.73,2
136.243.69.123,2
138.201.130.32,2
138.201.8.249,2
139.45.197.236,3
139.45.197.240,2
139.45.197.253,2
140.82.112.21,4
140.82.112.22,7
140.82.113.21,3
140.82.113.22,4
140.82.114.21,5
